time/fps,rollout/ep_rew_mean,train/n_updates,rollout/ep_len_mean,time/total_timesteps,train/learning_rate,time/time_elapsed,train/entropy_loss,time/iterations,train/policy_loss,train/value_loss,train/explained_variance
83,0.76,12999,1234.19,130000,0.0007,1549,-0.0030026533640921116,13000,2.9688868607991026e-07,1.1832845530079794e-06,0.0
83,0.76,13099,1234.19,131000,0.0007,1562,-0.004301570355892181,13100,-1.950006475737176e-11,4.077942715766895e-15,0.0
83,0.76,13199,1234.19,132000,0.0007,1574,-0.004300435073673725,13200,-3.629512662639556e-11,1.98463698952581e-14,0.0
83,0.76,13299,1234.19,133000,0.0007,1586,-0.0043004234321415424,13300,6.542338198967101e-11,4.845557853886632e-15,0.0
83,0.76,13399,1234.19,134000,0.0007,1598,-0.004300281405448914,13400,6.542337505077711e-11,7.322960665048957e-15,0.0
83,0.76,13499,1234.19,135000,0.0007,1610,-0.004300062078982592,13500,6.542338198967101e-11,9.376793639508454e-15,0.0
83,0.76,13599,1234.19,136000,0.0007,1622,-0.0042998408898711205,13600,6.542338198967101e-11,8.933541298210279e-15,0.0
83,0.76,13699,1234.19,137000,0.0007,1635,-0.004300261382013559,13700,6.542337505077711e-11,4.665148729967412e-15,0.0
83,0.76,13799,1234.19,138000,0.0007,1647,-0.004300038795918226,13800,6.542337505077711e-11,6.948697886755223e-15,0.0
83,0.75,13899,1365.49,139000,0.0007,1659,-0.0042633903212845325,13900,2.0459842153819352e-10,1.2020237778222198e-13,0.0
83,0.75,13999,1365.49,140000,0.0007,1672,-0.004262274596840143,14000,-1.0002532135899855e-08,6.048758161014689e-10,0.0
83,0.75,14099,1365.49,141000,0.0007,1684,-0.004261613357812166,14100,-2.2934276699970724e-08,3.1697269253783134e-09,5.960464477539063e-08
83,0.75,14199,1365.49,142000,0.0007,1696,-0.004143562633544207,14200,-1.6103788524901574e-08,1.6533736602042381e-09,0.0
83,0.75,14299,1365.49,143000,0.0007,1709,-0.004454378969967365,14300,-2.5051429020095384e-07,3.406996142985008e-07,0.0
83,0.75,14399,1365.49,144000,0.0007,1722,-0.0044498136267066,14400,-4.577935612815054e-07,1.1401394885979244e-06,0.0
83,0.75,14499,1365.49,145000,0.0007,1734,-0.004448889754712582,14500,-3.6666682490249514e-07,7.330388598347781e-07,-1.1920928955078125e-07
83,0.75,14599,1365.49,146000,0.0007,1747,-0.004446837119758129,14600,-3.6038431971974205e-07,7.095263754308689e-07,0.0
83,0.75,14699,1365.49,147000,0.0007,1760,-0.004443931858986616,14700,-4.5564442530121596e-07,1.1340896435285686e-06,1.1920928955078125e-07
83,0.75,14799,1365.49,148000,0.0007,1773,-0.0044405837543308735,14800,-5.23319954481849e-07,1.4992958767834352e-06,0.0
83,0.75,14899,1365.49,149000,0.0007,1786,-0.005980300717055798,14900,-6.927513140908559e-07,1.324737809227372e-06,0.0
83,0.75,14999,1365.49,150000,0.0007,1799,-0.005976333748549223,15000,-6.549752811224607e-07,1.18574848784192e-06,0.0
83,0.75,15099,1365.49,151000,0.0007,1812,-0.005970712285488844,15100,-6.643625738433911e-07,1.2237478586030193e-06,0.0
83,0.75,15199,1365.49,152000,0.0007,1825,-0.005965161602944136,15200,-6.789708777432679e-07,1.279597427128465e-06,0.0
83,0.75,15299,1365.49,153000,0.0007,1838,-0.005959347356110811,15300,-6.766581464034971e-07,1.2747352684527868e-06,0.0
83,0.75,15399,1365.49,154000,0.0007,1851,-0.005953945219516754,15400,-6.69228086280782e-07,1.2483919817896094e-06,-1.1920928955078125e-07
83,0.75,15499,1365.49,155000,0.0007,1865,-0.005948052275925875,15500,-6.68633504119498e-07,1.2500986485974863e-06,1.1920928955078125e-07
83,0.75,15599,1365.49,156000,0.0007,1878,-0.005942248273640871,15600,-6.704261750201113e-07,1.260215640286333e-06,0.0
82,0.75,15699,1365.49,157000,0.0007,1892,-0.0033265980891883373,15700,-3.4463451470401196e-07,1.2576851986523252e-06,0.0
82,0.75,15799,1365.49,158000,0.0007,1906,-0.003325562458485365,15800,-3.4410709304211196e-07,1.257424287359754e-06,0.0
82,0.75,15899,1365.49,159000,0.0007,1919,-0.003325845580548048,15900,-3.4357918821115163e-07,1.2535575706351665e-06,0.0
82,0.75,15999,1365.49,160000,0.0007,1933,-0.0027521199081093073,16000,-2.775828420453763e-07,1.2554339718917618e-06,-0.0002295970916748047
82,0.75,16099,1365.49,161000,0.0007,1946,-0.00279340916313231,16100,-2.8254936523808283e-07,1.2601434491443797e-06,-1.1920928955078125e-07
82,0.75,16199,1365.49,162000,0.0007,1958,-0.002793665276840329,16200,-2.7662525781124714e-07,1.2077163091817056e-06,0.0
82,0.75,16299,1365.49,163000,0.0007,1970,-0.00432283291593194,16300,-4.7394240709763835e-07,1.3086637409287505e-06,0.0
82,0.75,16399,1365.49,164000,0.0007,1982,-0.004321844782680273,16400,-4.6467349079648557e-07,1.2583100215124432e-06,0.0
82,0.75,16499,1365.49,165000,0.0007,1994,-0.004321191925555468,16500,-4.598469729444332e-07,1.2321092981437687e-06,0.0
82,0.75,16599,1634.1,166000,0.0007,2006,-0.002719084033742547,16600,-2.389594442320231e-07,9.586514124748646e-07,0.0
82,0.75,16699,1634.1,167000,0.0007,2019,-0.0030322610400617123,16700,-2.690682663342159e-07,9.481770462116401e-07,0.0
82,0.75,16799,1634.1,168000,0.0007,2031,-0.003031626110896468,16800,-3.11141718611907e-07,1.2675890275204438e-06,0.0
82,0.75,16899,1634.1,169000,0.0007,2043,-0.0049070012755692005,16900,-5.624937102766125e-07,1.3775786555925151e-06,0.0
82,0.75,16999,1634.1,170000,0.0007,2055,-0.004905720241367817,17000,-5.368262350202713e-07,1.2546646530608996e-06,0.0
82,0.72,17099,1687.28,171000,0.0007,2067,-0.005302314180880785,17100,9.197426847906698e-11,2.7370521214070687e-14,0.0
82,0.72,17199,1687.28,172000,0.0007,2079,-0.005302314180880785,17200,2.5743404803713066e-12,1.52952229987894e-17,0.0
82,0.72,17299,1687.28,173000,0.0007,2091,-0.005299881100654602,17300,5.733776231586774e-10,9.25038040958115e-13,-1.1920928955078125e-07
82,0.72,17399,1687.28,174000,0.0007,2103,-0.005297150928527117,17400,-1.697126705835217e-08,1.0529936922409888e-09,0.0
82,0.72,17499,1687.28,175000,0.0007,2116,-0.00536672119051218,17500,-2.384990693826694e-07,2.014466247146629e-07,5.960464477539063e-08
82,0.72,17599,1687.28,176000,0.0007,2128,-0.005362979136407375,17600,-2.1848882170161232e-07,1.692752533699604e-07,-1.1920928955078125e-07
82,0.72,17699,1687.28,177000,0.0007,2140,-0.005356057081371546,17700,-4.166479357081698e-07,6.177576210575353e-07,0.0
82,0.72,17799,1687.28,178000,0.0007,2152,-0.007631468120962381,17800,-1.0487788131285924e-06,1.7291415588260861e-06,5.960464477539063e-08
82,0.7,17899,1761.87,179000,0.0007,2165,-0.009105303324759007,17900,-4.6334391184954526e-11,5.939842894818015e-16,-1.1920928955078125e-07
82,0.7,17999,1761.87,180000,0.0007,2177,-0.009105057455599308,18000,-4.6334391184954526e-11,1.0592521817494186e-15,-1.1920928955078125e-07
