time/total_timesteps,time/episodes,time/fps,time/time_elapsed,rollout/exploration_rate,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/loss,train/n_updates
878600,29448,270,3251,0.01,1045.22,23.51,0.00025,0.028706565499305725,207149
878855,29452,270,3252,0.01,1041.73,23.42,0.00025,0.06255029886960983,207213
879002,29456,270,3252,0.01,1039.44,23.34,0.00025,0.014416152611374855,207250
879143,29460,270,3253,0.01,1035.49,23.23,0.00025,0.035466935485601425,207285
879266,29464,270,3253,0.01,1035.49,23.23,0.00025,0.044465478509664536,207316
879487,29468,270,3254,0.01,1034.19,23.16,0.00025,0.06590278446674347,207371
879682,29472,270,3255,0.01,1037.62,23.3,0.00025,0.027154602110385895,207420
879886,29476,270,3256,0.01,1040.35,23.33,0.00025,0.02646643854677677,207471
880182,29480,270,3257,0.01,1044.02,23.37,0.00025,0.06195010989904404,207545
880426,29484,270,3258,0.01,1044.02,23.37,0.00025,0.07848219573497772,207606
880676,29488,270,3259,0.01,1044.72,23.32,0.00025,0.0850989818572998,207668
880806,29492,270,3259,0.01,1040.15,23.11,0.00025,0.018953025341033936,207701
880962,29496,270,3260,0.01,1037.3,22.92,0.00025,0.021219003945589066,207740
881186,29500,270,3261,0.01,1036.16,22.86,0.00025,0.0496382974088192,207796
881428,29504,270,3261,0.01,1036.16,22.86,0.00025,0.030887950211763382,207856
881767,29508,270,3263,0.01,1038.24,23.02,0.00025,0.016498258337378502,207941
881939,29512,270,3263,0.01,1047.22,23.36,0.00025,0.03497376665472984,207984
882104,29516,270,3264,0.01,1051.22,23.46,0.00025,0.08253546059131622,208025
882478,29520,270,3265,0.01,1056.85,23.63,0.00025,0.04652535915374756,208119
882604,29524,270,3266,0.01,1056.85,23.63,0.00025,0.11759967356920242,208150
882775,29528,270,3266,0.01,1054.37,23.63,0.00025,0.02741948515176773,208193
883016,29532,270,3267,0.01,1058.29,23.68,0.00025,0.01534112449735403,208253
883218,29536,270,3268,0.01,1057.2,23.73,0.00025,0.1019323468208313,208304
883439,29540,270,3269,0.01,1061.23,23.91,0.00025,0.03218413144350052,208359
883594,29544,270,3270,0.01,1061.23,23.91,0.00025,0.03972763195633888,208398
883804,29548,270,3270,0.01,1054.48,23.67,0.00025,0.08493002504110336,208450
883967,29552,270,3271,0.01,1053.69,23.62,0.00025,0.05029352009296417,208491
884145,29556,270,3272,0.01,1055.76,23.64,0.00025,0.11241739243268967,208536
884236,29560,270,3272,0.01,1052.55,23.47,0.00025,0.03553107753396034,208558
884433,29564,270,3273,0.01,1052.55,23.47,0.00025,0.029450703412294388,208608
884613,29568,270,3273,0.01,1053.47,23.58,0.00025,0.050552211701869965,208653
884832,29572,270,3274,0.01,1050.68,23.46,0.00025,0.07122708112001419,208707
885112,29576,270,3275,0.01,1056.14,23.65,0.00025,0.16496798396110535,208777
885364,29580,270,3276,0.01,1056.21,23.55,0.00025,0.14653784036636353,208840
885493,29584,270,3277,0.01,1056.21,23.55,0.00025,0.05307033285498619,208873
885636,29588,270,3277,0.01,1053.59,23.38,0.00025,0.021019548177719116,208908
885837,29592,270,3278,0.01,1050.91,23.27,0.00025,0.06617464125156403,208959
886031,29596,270,3279,0.01,1052.94,23.27,0.00025,0.046397559344768524,209007
886260,29600,270,3279,0.01,1054.14,23.34,0.00025,0.01813792809844017,209064
886386,29604,270,3280,0.01,1054.14,23.34,0.00025,0.01423581037670374,209096
886614,29608,270,3281,0.01,1053.93,23.41,0.00025,0.05573905259370804,209153
886741,29612,270,3281,0.01,1053.83,23.39,0.00025,0.05268298089504242,209185
886874,29616,270,3282,0.01,1052.3,23.23,0.00025,0.04063919559121132,209218
886981,29620,270,3282,0.01,1045.13,22.97,0.00025,0.035504650324583054,209245
887207,29624,270,3283,0.01,1045.13,22.97,0.00025,0.037676554173231125,209301
887524,29628,270,3284,0.01,1048.45,23.0,0.00025,0.08525853604078293,209380
887722,29632,270,3285,0.01,1050.91,23.05,0.00025,0.08155152201652527,209430
887979,29636,270,3286,0.01,1057.0,23.26,0.00025,0.04370875656604767,209494
888138,29640,270,3287,0.01,1059.05,23.29,0.00025,0.05295605957508087,209534
888229,29644,270,3287,0.01,1059.05,23.29,0.00025,0.055718064308166504,209557
888429,29648,270,3288,0.01,1054.94,23.15,0.00025,0.08379015326499939,209607
888630,29652,270,3288,0.01,1057.64,23.25,0.00025,0.06492561101913452,209657
888950,29656,270,3290,0.01,1061.42,23.28,0.00025,0.021892935037612915,209737
889122,29660,270,3290,0.01,1060.09,23.22,0.00025,0.030042530968785286,209780
889343,29664,270,3291,0.01,1060.09,23.22,0.00025,0.0380883663892746,209835
889538,29668,270,3292,0.01,1061.8,23.28,0.00025,0.023736974224448204,209884
889671,29672,270,3292,0.01,1059.34,23.31,0.00025,0.02522875741124153,209917
889854,29676,270,3293,0.01,1061.4,23.44,0.00025,0.0584079846739769,209963
889992,29680,270,3294,0.01,1059.2,23.44,0.00025,0.10353964567184448,209997
890115,29684,270,3294,0.01,1059.2,23.44,0.00025,0.07892764359712601,210028
890306,29688,270,3295,0.01,1051.26,23.19,0.00025,0.04102833569049835,210076
890449,29692,270,3295,0.01,1053.35,23.23,0.00025,0.03266191482543945,210112
890624,29696,270,3296,0.01,1052.66,23.19,0.00025,0.0475483238697052,210155
890870,29700,270,3297,0.01,1057.51,23.36,0.00025,0.026308147236704826,210217
891094,29704,270,3298,0.01,1057.51,23.36,0.00025,0.0848638266324997,210273
891364,29708,270,3299,0.01,1056.71,23.33,0.00025,0.07844854891300201,210340
891655,29712,270,3300,0.01,1059.86,23.37,0.00025,0.04931667447090149,210413
891808,29716,270,3300,0.01,1059.78,23.43,0.00025,0.05927162989974022,210451
892022,29720,270,3301,0.01,1061.04,23.41,0.00025,0.03578393533825874,210505
892169,29724,270,3302,0.01,1061.04,23.41,0.00025,0.08324278146028519,210542
892369,29728,270,3302,0.01,1058.47,23.33,0.00025,0.16467055678367615,210592
892687,29732,270,3304,0.01,1057.51,23.25,0.00025,0.0830441415309906,210671
892762,29736,270,3304,0.01,1060.99,23.33,0.00025,0.04195030778646469,210690
892914,29740,270,3304,0.01,1055.14,23.15,0.00025,0.03044992871582508,210728
893157,29744,270,3305,0.01,1055.14,23.15,0.00025,0.086526058614254,210789
893455,29748,270,3306,0.01,1055.75,23.16,0.00025,0.014762714505195618,210863
893536,29752,270,3307,0.01,1055.28,23.17,0.00025,0.04950907826423645,210883
893885,29756,270,3308,0.01,1056.06,23.27,0.00025,0.015220485627651215,210971
894058,29760,270,3309,0.01,1057.52,23.29,0.00025,0.04003078117966652,211014
894161,29764,270,3309,0.01,1057.52,23.29,0.00025,0.08402837812900543,211040
894400,29768,270,3310,0.01,1056.96,23.25,0.00025,0.026923224329948425,211099
894667,29772,270,3311,0.01,1063.23,23.35,0.00025,0.04624892771244049,211166
894783,29776,270,3311,0.01,1064.37,23.4,0.00025,0.047839388251304626,211195
894949,29780,270,3312,0.01,1062.84,23.35,0.00025,0.08316482603549957,211237
895101,29784,270,3313,0.01,1062.84,23.35,0.00025,0.0250028558075428,211275
895287,29788,270,3313,0.01,1055.88,23.08,0.00025,0.10093040764331818,211321
895591,29792,270,3314,0.01,1057.88,22.96,0.00025,0.03939458727836609,211397
895844,29796,270,3315,0.01,1060.65,23.11,0.00025,0.04856611043214798,211460
896035,29800,270,3316,0.01,1062.48,23.13,0.00025,0.056804269552230835,211508
896163,29804,270,3317,0.01,1062.48,23.13,0.00025,0.10885981470346451,211540
896442,29808,270,3318,0.01,1059.29,23.04,0.00025,0.04637107998132706,211610
896624,29812,270,3318,0.01,1059.39,23.08,0.00025,0.017326323315501213,211655
896776,29816,270,3319,0.01,1057.08,22.98,0.00025,0.04885466769337654,211693
897043,29820,270,3320,0.01,1061.61,23.23,0.00025,0.11388903856277466,211760
897228,29824,270,3321,0.01,1061.61,23.23,0.00025,0.015526500530540943,211806
897387,29828,270,3321,0.01,1061.12,23.29,0.00025,0.04425361752510071,211846
897571,29832,270,3322,0.01,1054.09,22.92,0.00025,0.027259904891252518,211892
897811,29836,270,3323,0.01,1054.02,22.93,0.00025,0.09510764479637146,211952
897944,29840,270,3323,0.01,1052.21,22.82,0.00025,0.01788231171667576,211985
898248,29844,270,3324,0.01,1052.21,22.82,0.00025,0.0885629653930664,212061
898499,29848,270,3325,0.01,1057.4,22.97,0.00025,0.04715873301029205,212124
898644,29852,270,3326,0.01,1055.41,23.09,0.00025,0.03773059695959091,212160
898761,29856,270,3326,0.01,1052.46,23.01,0.00025,0.03140643984079361,212190
898926,29860,270,3327,0.01,1047.96,22.89,0.00025,0.07738753408193588,212231
899076,29864,270,3328,0.01,1047.96,22.89,0.00025,0.11487583070993423,212268
899312,29868,270,3328,0.01,1047.08,22.83,0.00025,0.031529538333415985,212327
899491,29872,270,3329,0.01,1046.91,22.85,0.00025,0.10731060802936554,212372
899645,29876,270,3330,0.01,1046.32,22.76,0.00025,0.027688147500157356,212411
899832,29880,270,3330,0.01,1044.56,22.66,0.00025,0.03630638122558594,212457
900031,29884,270,3331,0.01,1044.56,22.66,0.00025,0.07223492115736008,212507
900218,29888,270,3332,0.01,1046.1,22.7,0.00025,0.09670849144458771,212554
900386,29892,270,3332,0.01,1040.74,22.52,0.00025,0.0724499449133873,212596
900558,29896,270,3333,0.01,1043.25,22.55,0.00025,0.1644471138715744,212639
900698,29900,270,3334,0.01,1040.62,22.41,0.00025,0.0409020334482193,212674
901018,29904,270,3335,0.01,1040.62,22.41,0.00025,0.022709336131811142,212754
901199,29908,270,3335,0.01,1047.45,22.54,0.00025,0.01743001490831375,212799
